Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance
2021-10-12,,1.0,4380.0,2.94137
2021-10-13,,5.0,3676.0,2.40299
2021-10-14,,2.0,3127.0,2.03437
2021-10-15,,1.0,2017.0,1.33558
2021-10-16,,4.0,2559.0,1.68161
2021-10-17,,2.0,1800.0,1.20336
2021-10-18,,3.0,3537.0,2.3315
2021-10-19,,5.0,3253.0,2.18702
2021-10-20,,4.0,3274.0,2.08976
2021-10-21,,2.0,2904.0,1.90532
2021-10-22,,2.0,2745.0,1.75683
2021-10-23,,4.0,2806.0,1.82164
2021-10-24,,3.0,3066.0,1.99618
2021-10-25,,5.0,3375.0,2.1985
2021-10-26,,6.0,2986.0,1.92353
2021-10-27,,4.0,2658.0,1.80063
2021-10-28,,,2487.0,1.64195
2021-10-29,,,1569.0,1.0432
2021-10-30,,4.0,2191.0,1.46603
2021-10-31,,,2588.0,1.64553
2021-11-01,,6.0,3641.0,2.41348
2021-11-02,,5.0,3173.0,2.01301
2021-11-03,,8.0,2826.0,1.74584
2021-11-04,,6.0,3938.0,2.64002
2021-11-05,,4.0,3299.0,2.1431999999999998
2021-11-06,,4.0,3263.0,2.1313
2021-11-07,,,1254.0,0.82755
2021-11-08,,5.0,2293.0,1.52296
2021-11-09,,3.0,2910.0,1.95733
2021-11-10,,5.0,2993.0,1.92879
2021-11-11,,4.0,2327.0,1.5747900000000001
2021-11-12,,3.0,4536.0,2.95009
2021-11-13,,,1554.0,1.0783
2021-11-14,,,1575.0,1.06198
2021-11-15,,1.0,2806.0,1.87971
2021-11-16,,1.0,3707.0,2.45195
2021-11-17,,1.0,2475.0,1.6691099999999999
2021-11-18,,2.0,3512.0,2.35054
2021-11-19,,3.0,3730.0,2.48975
2021-11-20,,,2111.0,1.41442
2021-11-21,,,2050.0,1.3766100000000001
2021-11-22,,3.0,2679.0,1.78133
2021-11-23,,13.0,2881.0,1.88695
2021-11-24,,7.0,5575.0,3.5315499999999997
2021-11-25,,1.0,2336.0,1.5565499999999999
2021-11-26,,1.0,1848.0,1.22508
2021-11-27,,3.0,3294.0,2.11985
2021-11-28,,3.0,2395.0,1.51877
2021-11-29,,1.0,2664.0,1.77155
2021-11-30,,8.0,4015.0,2.65517
2021-12-01,,11.0,6585.0,4.1742
2021-12-02,,4.0,3461.0,2.31369
2021-12-03,,1.0,2556.0,1.64869
2021-12-04,,3.0,3944.0,2.55401
2021-12-05,,,6016.0,3.81323
2021-12-06,,8.0,5156.0,3.392635
2021-12-07,,9.0,4088.0,2.67344
2021-12-08,,2.0,3275.0,2.1980399999999998
2021-12-09,,4.0,4056.0,2.54613
2021-12-10,,3.0,2178.0,1.47398
2021-12-11,,4.0,2751.0,1.81081
2021-12-12,,,2115.0,1.39367
2021-12-13,,4.0,4142.0,2.70359
2021-12-14,,2.0,3784.0,2.51502
2021-12-15,,,2008.0,1.26298
2021-12-16,,4.0,2650.0,1.63828
2021-12-17,,3.0,2634.0,1.73782
2021-12-18,,5.0,3003.0,2.0618
2021-12-19,,,5221.0,3.59595
2021-12-20,,1.0,2926.0,2.02137
2021-12-21,,4.0,3183.0,2.04379
2021-12-22,,6.0,5787.0,3.94969
2021-12-23,,3.0,4129.0,2.6404199999999998
2021-12-24,,2.0,2909.0,1.94916
2021-12-25,,,899.0,0.60607
2021-12-26,,,992.0,0.67953
2021-12-27,,2.0,2582.0,1.77229
2021-12-28,,4.0,3923.0,2.5395
2021-12-29,,6.0,3783.0,2.57081
2021-12-30,,1.0,2604.0,1.63549
2021-12-31,,4.0,5967.0,3.924927
2022-01-01,,,1734.0,1.18058
2022-01-02,,,3904.0,2.764173
2022-01-03,,1.0,3013.0,1.9597600000000002
2022-01-04,,6.0,4556.0,3.0599
2022-01-05,,9.0,4182.0,2.65733
2022-01-06,,4.0,7284.0,4.78087
2022-01-07,,11.0,6443.0,4.09989
2022-01-08,,4.0,2256.0,1.50536
2022-01-09,,,747.0,0.50343
2022-01-10,,5.0,5468.0,3.35964
2022-01-11,,,1484.0,0.97736
2022-01-12,,8.0,4995.0,3.09125
2022-01-13,,2.0,2616.0,1.72215
2022-01-14,,5.0,4447.0,2.87471
2022-01-15,,4.0,6370.0,4.238756
2022-01-16,,,2842.0,1.82883
2022-01-17,,3.0,2626.0,1.77595
2022-01-18,,5.0,2683.0,1.80964
2022-01-19,,7.0,4920.0,3.03882
2022-01-20,,2.0,2816.0,1.7939
2022-01-21,,3.0,3836.0,2.44496
2022-01-22,,,1221.0,0.81989
2022-01-23,,,1056.0,0.70028
2022-01-24,,5.0,4819.0,2.95829
2022-01-25,,8.0,3116.0,1.95898
2022-01-26,,11.0,5926.0,3.6468000000000003
2022-01-27,,2.0,2697.0,1.87342
2022-01-28,,5.0,3289.0,2.36685
2022-01-29,,3.0,3565.0,2.57063
2022-01-30,,,1625.0,1.08395
2022-01-31,,,872.0,0.5983700000000001
2022-02-01,,,1862.0,1.24344
2022-02-02,,,2504.0,1.65104
2022-02-03,,,4441.0,3.1053100000000002
2022-02-04,,4.0,4334.0,3.092556
2022-02-05,,,1728.0,1.17177
2022-02-06,,,1961.0,1.31634
2022-02-07,,1.0,2371.0,1.53808
2022-02-08,,1.0,2066.0,1.33684
2022-02-09,,3.0,4223.0,2.99347
2022-02-10,,2.0,3977.0,2.96305
2022-02-11,,4.0,2921.0,1.93039
2022-02-12,,,1574.0,1.06682
2022-02-13,,,3738.0,2.70791
2022-02-14,,2.0,4893.0,3.10406
2022-02-15,,1.0,2769.0,1.82751
2022-02-16,,2.0,4518.0,2.87817
2022-02-17,,1.0,3920.0,2.56482
2022-02-18,,4.0,3664.0,2.51905
2022-02-19,,,2269.0,1.48578
2022-02-20,,,2411.0,1.62012
2022-02-21,,3.0,3708.0,2.37652
2022-02-22,,,2276.0,1.62832
2022-02-23,,2.0,4709.0,2.98445
2022-02-24,,2.0,2433.0,1.72345
2022-02-25,,,1076.0,0.7244
2022-02-26,,3.0,2520.0,1.7419
2022-02-27,,,1254.0,0.86015
2022-02-28,,4.0,5514.0,3.7330200000000002
2022-03-01,,,701.0,0.46497
2022-03-02,,,711.0,0.48914
2022-03-03,,2.0,5286.0,3.441298
2022-03-04,,3.0,7648.0,5.0776200000000005
2022-03-05,,2.0,3387.0,2.41932
2022-03-06,,,2006.0,1.39597
2022-03-07,,8.0,5272.0,3.62881
2022-03-08,,1.0,3781.0,2.74495
2022-03-09,,,1252.0,0.8712799999999999
2022-03-10,,4.0,4266.0,2.85471
2022-03-11,,,1904.0,1.2869
2022-03-12,,5.0,3773.0,2.63615
2022-03-13,,,10052.0,6.87312
2022-03-14,,1.0,5655.0,4.1567
2022-03-15,,3.0,4272.0,3.07525
2022-03-16,,1.0,5477.0,3.80632
2022-03-17,,,3232.0,2.31488
2022-03-18,,5.0,5196.0,3.59498
2022-03-19,,8.0,4373.0,3.02995
2022-03-20,,6.0,3817.0,2.51132
2022-03-21,,7.0,8157.0,5.3063
2022-03-22,,5.0,5774.0,3.88594
2022-03-23,,6.0,5713.0,3.65318
2022-03-24,,11.0,8609.0,6.00039
