Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance,School Period
2024-03-27,96.37100000000001,5.0,3361.0,2.3900794,Sophomore First Term
2024-03-28,195.375,,6310.0,4.12925,Sophomore First Term
2024-03-29,158.042,5.0,5261.0,3.490643,Sophomore First Term
2024-03-30,193.343,1.0,5842.0,3.9921,Sophomore First Term
2024-03-31,141.341,6.0,4204.0,2.832584,Sophomore First Term
2024-04-01,303.919,18.0,8552.0,5.789245,Sophomore First Term
2024-04-02,211.876,12.0,7204.0,5.10874,Sophomore First Term
2024-04-03,149.975,5.0,5110.0,3.57748,Sophomore First Term
2024-04-04,180.32,9.0,5679.0,3.927328,Sophomore First Term
2024-04-05,248.94,13.0,7988.0,5.553234,Sophomore First Term
2024-04-06,109.663,3.0,4438.0,3.1378736,Sophomore First Term
2024-04-07,110.534,11.0,3767.0,2.683985,Sophomore First Term
2024-04-08,56.882,8.0,1976.0,1.42621,Sophomore First Term
2024-04-09,88.482,9.0,3360.0,2.3680046999999997,Sophomore First Term
2024-04-10,139.356,9.0,5452.0,3.9302838,Sophomore First Term
2024-04-11,234.583,28.0,6140.0,4.356706,Sophomore First Term
2024-04-12,191.949,12.0,7227.0,5.222648,Sophomore First Term
2024-04-13,112.902,7.0,4220.0,2.95254,Sophomore First Term
2024-04-14,141.963,10.0,5433.0,3.8316614,Sophomore First Term
2024-04-15,226.21200000000002,14.0,6851.0,4.9338750000000005,Sophomore First Term
2024-04-16,339.353,14.0,10409.0,7.368443,Sophomore First Term
2024-04-17,276.618,10.0,10451.0,7.026643,Sophomore First Term
2024-04-18,290.029,8.0,9738.0,6.652643,Sophomore First Term
2024-04-19,213.804,10.0,7107.0,4.723572,Sophomore First Term
2024-04-20,244.368,11.0,7481.0,5.53552,Sophomore First Term
2024-04-21,84.329,4.0,2697.0,1.947836,Sophomore First Term
2024-04-22,130.241,7.0,4248.0,3.006233,Sophomore First Term
2024-04-23,216.976,10.0,6508.0,4.697819,Sophomore First Term
2024-04-24,224.986,6.0,7304.0,4.955221,Sophomore First Term
2024-04-25,258.829,11.0,8473.0,5.87566,Sophomore First Term
2024-04-26,152.477,5.0,5313.0,3.75196,Sophomore First Term
2024-04-27,250.507,8.0,7106.0,5.199793,Sophomore First Term
2024-04-28,318.728,13.0,10174.0,7.201818,Sophomore First Term
2024-04-29,139.255,5.0,5108.0,3.716641,Sophomore First Term
2024-04-30,197.909,6.0,6305.0,4.371517,Sophomore First Term
2024-05-01,242.481,9.0,8030.0,5.855443,Sophomore First Term
2024-05-02,228.444,8.0,7475.0,5.172048,Sophomore First Term
2024-05-03,263.257,9.0,9018.0,6.135881,Sophomore First Term
2024-05-04,226.492,6.0,8080.0,5.602067,Sophomore First Term
2024-05-05,373.39300000000003,12.0,10456.0,7.409565,Sophomore First Term
2024-05-06,208.017,8.0,6786.0,4.6559,Sophomore First Term
2024-05-07,317.378,12.0,10143.0,6.978426,Sophomore First Term
2024-05-08,223.24,10.0,7584.0,5.047916,Sophomore First Term
2024-05-09,103.366,1.0,4256.0,2.930331,Sophomore First Term
2024-05-10,302.121,12.0,9617.0,6.8742,Sophomore First Term
